1676553921,47.2
1676553927,47.7
1676554022,48.2
1676554135,47.7
1676554156,48.2
1676555245,48.7
1676555286,48.2
1676555287,48.2
1676555287,48.7
1676555287,47.7
1676555288,49.6
1676555288,49.1
1676555288,48.2
1676555297,48.7
1676555303,49.1
1676555363,48.7
1676555388,49.1
1676556061,49.6
1676556382,51.6
1676556544,52.5
1676556552,52.5
1676557729,52.1
1676558341,53.5
1676558402,54.0
1676558461,54.5
1676558521,54.0
1676558581,55.0
1676558641,55.5
1676558701,54.0
1676558821,55.5
1676558881,55.0
1676558941,54.5
1676559013,56.0
1676559061,55.5
1676559121,56.0
1676559181,55.0
1676559241,54.5
1676559301,55.0
1676559361,54.0
1676559422,55.5
1676559481,56.0
1676559541,54.5
1676559602,56.4
1676559661,55.5
1676559721,55.0
1676559781,55.0
1676559841,54.5
1676559901,55.5
1676559961,54.5
1676560021,55.0
1676560081,54.0
1676560141,55.0
1676560201,55.0
1676560261,56.4
1676560321,55.5
1676560381,56.0
1676560441,56.0
1676560501,56.0
1676560561,30.6
1676560621,34.5
1676560681,37.4
1676560741,41.3
1676560741,43.8
1676560801,44.8
1676560861,45.7
1676560921,46.2
1676560981,47.2
1676561041,46.7
1676561101,47.2
1676561161,48.2
1676561221,48.2
1677151237,50.1
1677151261,49.6
1677151321,49.1
1677151381,49.6
1677151441,50.6
1677151501,49.6
1677151561,50.6
1677151621,50.6
1677151681,43.8
1677151897,44.8
1677151897,44.8
1677151897,45.2
1677151921,45.2
1677151982,45.7
1677152041,46.2
1677152101,45.7
1677152161,46.7
1677152221,47.2
1677152281,46.7
1677152341,48.7
1677152401,48.7
1677152461,46.7
1677152521,47.2
1677152581,48.7
1677152641,48.7
1677152701,48.2
1677152761,49.1
1677152821,50.1
1677152881,49.1
1677152941,49.1
1677153014,49.6
1677153061,49.1
1677153121,47.7
1677153181,48.7
1677153253,48.2
1677153301,48.7
1677153361,46.2
1677153655,47.2
1677153655,46.7
1677153656,47.7
1677153656,48.2
1677153661,50.6
